event_id,event_type,event_layer,event_sequence_label,customer_id,product_id,start_date,end_date,description,business_reason,interpretation_hint,review_flag
EVT_001,recurring_promotion,1,recurring_promotion,CUST_C,P3,2024-02-12,2024-02-25,Quarter-start brake campaign,"Repeated promotion on Campaign Brake Pad Kit creates a moderate, explainable uplift above baseline demand.",,False
EVT_002,recurring_promotion,1,recurring_promotion,CUST_C,P3,2024-06-10,2024-06-23,Summer brake campaign,"Repeated promotion on Campaign Brake Pad Kit creates a moderate, explainable uplift above baseline demand.",,False
EVT_003,recurring_promotion,1,recurring_promotion,CUST_C,P3,2025-02-10,2025-02-23,Repeat brake campaign,"Repeated promotion on Campaign Brake Pad Kit creates a moderate, explainable uplift above baseline demand.",,False
EVT_004,recurring_promotion,1,recurring_promotion,CUST_A,P4,2024-10-07,2024-10-20,Autumn visibility push,"Repeated promotion on Seasonal Wiper Set creates a moderate, explainable uplift above baseline demand.",,False
EVT_005,recurring_promotion,1,recurring_promotion,CUST_C,P4,2024-11-04,2024-11-17,Retail wiper promotion,"Repeated promotion on Seasonal Wiper Set creates a moderate, explainable uplift above baseline demand.",,False
EVT_006,recurring_promotion,1,recurring_promotion,CUST_D,P3,2025-04-07,2025-04-20,Dealer support campaign,"Repeated promotion on Campaign Brake Pad Kit creates a moderate, explainable uplift above baseline demand.",,False
EVT_2001,one_off_bulk_order,2,one_off_bulk_order,CUST_A,P5,2024-09-16,2024-09-20,Pre-winter Workshop Battery Pack stock-up,A one-time bulk purchase of Workshop Battery Pack units creates a single visible spike above normal replenishment.,,False
EVT_3001,recall_warranty,3,recall_warranty,CUST_A,P6,2025-02-03,2025-03-09,Cooling Recall Repair Kit warranty surge,A field warranty action temporarily pushes Cooling Recall Repair Kit demand far above normal service demand.,,False
EVT_3001,recall_warranty,3,recall_warranty,CUST_B,P6,2025-02-03,2025-03-09,Cooling Recall Repair Kit warranty surge,A field warranty action temporarily pushes Cooling Recall Repair Kit demand far above normal service demand.,,False
EVT_4001,new_dealer_launch,4,new_dealer_launch,CUST_D,P7,2024-03-04,2024-06-30,Launch Essentials Bundle launch burst and stabilization,"The new dealer starts with an exceptional Launch Essentials Bundle loading phase, transitions through stabilization, and then moves to baseline-only demand after the launch window.",,False
EVT_5001,extreme_promotion,5,extreme_promotion,CUST_C,P10,2025-11-17,2025-11-30,Flash Sale Charge Cable black week blitz,"A short, very aggressive Flash Sale Charge Cable campaign creates an intentionally outsized spike.",,False
EVT_6001,promotion_absence,6,promotion_absence,CUST_C,P9,2025-05-05,2025-05-18,Promo Support Air Filter campaign missing,Demand drops because the expected recurring Promo Support Air Filter uplift does not happen this year.,,False
EVT_7001,hidden_drop,7,hidden_drop,CUST_A,P8,2025-01-06,2025-12-31,Slow erosion in Alignment Sensor Kit demand,"A gradual decline appears inside a large established dealer on Alignment Sensor Kit, without a visible campaign trigger, making it a meaningful hidden-drop case.",,False
EVT_8001,new_normal_shift,8,new_normal_shift,MULTI_CUSTOMER,P11,2025-01-01,2025-12-31,ICE ignition demand softens,ICE share declines and demand settles lower over time.,,False
EVT_8002,new_normal_shift,8,new_normal_shift,MULTI_CUSTOMER,P12,2025-01-01,2025-12-31,ICE fuel cleaner demand softens,The market gradually buys fewer ICE maintenance items.,,False
EVT_8003,new_normal_shift,8,new_normal_shift,MULTI_CUSTOMER,P13,2025-01-01,2025-12-31,EV thermal module becomes more common,Growing EV parc creates a new higher normal.,,False
EVT_9001,mixed_ambiguous_behavior,9,mixed_ambiguous_behavior,MULTI_CUSTOMER,P14,2025-06-02,2025-12-31,Mixed signal pattern on Hybrid Demand Diagnostic Pack,"This product combines mild campaign-like bumps with a soft downward drift, creating ambiguous behavior.",Pattern mixes temporary uplift and soft structural drift; analyst review is recommended.,True
